BSE Code,Company Name
505725,Algoquant Fintech Ltd
505726,IFB Industries Ltd
505729,Singer India Ltd
505737,International Combustion India Ltd
505744,Federal-Mogul Goetze (India) Ltd
505750,Josts Engineering Company Ltd
505790,Schaeffler India Ltd
505800,Rane Holdings Ltd
505807,Rolcon Engineering Company Ltd
505827,SNL Bearings Ltd
505840,Jaipan Industries Ltd
505850,Mangal Credit and Fincorp Ltd
505854,TRF Ltd
505872,WPIL Ltd
505890,Kennametal India Ltd
505893,Hindustan Hardy Ltd
505978,Triton Valves Ltd
506003,Sudal Industries Ltd
506022,Prakash Industries Ltd
506024,Hariyana Ventures Ltd
506042,Prabhu Steel Industries Ltd
506074,Arshiya Ltd
506076,Grindwell Norton Ltd
506079,Lakshmi Precision Screws Ltd
506105,Stanrose Mafatlal Investments & Finance Ltd
506109,Genesys International Corporation Ltd
506120,Alna Trading & Exports Ltd
506128,Parnax Lab Ltd
506134,Gourmet Gateway India Ltd
506146,Visagar Polytex Ltd
506161,Ishwarshakti Holdings & Traders Ltd
506162,Terraform Magnum Ltd
506166,Apis India Ltd
506178,Velox Shipping and Logistics Ltd
506180,Emergent Industrial Solutions Ltd
506184,Kanani Industries Ltd
506186,Galaxy Cloud Kitchens Ltd
506190,Sarvamangal Mercantile Company Ltd
506194,Arihant Superstructures Ltd
506197,Bliss GVS Pharma Ltd
506222,Styrenix Performance Materials Ltd
506235,Alembic Ltd
506248,Amines & Plasticizers Ltd
506260,Anuh Pharma Ltd
506261,Modison Ltd
506285,Bayer CropScience Ltd
506313,Sashwat Technocrats Ltd
506365,Chemo Pharma Laboratories Ltd
506390,Heubach Colorants India Ltd
506395,Coromandel International Ltd
506401,Deepak Nitrite Ltd
506405,DMCC Speciality Chemicals Ltd
506414,Fermenta Biotech Ltd
506480,GOCL Corporation Ltd
506520,Jayshree Chemicals Ltd
506525,Kanoria Chemicals & Industries Ltd
506528,KELTECH Energies Ltd
506530,Kemp & Company Ltd
506532,Nitta Gelatin India Ltd
506543,MP Agro Industries Ltd
506579,Oriental Carbon & Chemicals Ltd
506590,PCBL Chemical Ltd
506597,Amal Ltd
506605,Polychem Ltd
506618,Punjab Chemicals & Crop Protection Ltd
506640,ZR2 Bioenergy Ltd
506642,Sadhana Nitro Chem Ltd
506655,Sudarshan Chemical Industries Ltd
506680,Tecil Chemicals & Hydro Power Ltd
506685,Ultramarine & Pigments Ltd
506687,Transpek Industry Ltd
506690,Unichem Laboratories Ltd
506734,Mysore Petro Chemicals Ltd
506767,Alkyl Amines Chemicals Ltd
506808,Tuticorin Alkali Chemicals And Fertilizers Ltd
506820,AstraZeneca Pharma India Ltd
506852,Primo Chemicals Ltd
506854,TANFAC Industries Ltd
506858,Gujarat Petrosynthese Ltd
506863,Swadeshi Industries & Leasing Ltd
506879,Gujarat Themis Biosyn Ltd
506919,Makers Laboratories Ltd
506935,Continental Chemicals Ltd
506943,JB Chemicals & Pharmaceuticals Ltd
506945,Indo Gulf Industries Ltd
506947,Advance Petrochemicals Ltd
506975,Rajasthan Petro Synthetics Ltd
506979,Apt Packaging Ltd
506981,Bluechip Tex Industries Ltd
507155,Jagatjit Industries Ltd
507180,Kesar Enterprises Ltd
507205,Tilaknagar Industries Ltd
507265,Emerald Leisures Ltd
507300,The Ravalgaon Sugar Farm Ltd
507315,Sakthi Sugars Ltd
507410,Walchandnagar Industries Ltd
507438,IFB Agro Industries Ltd
507474,Kothari Fermentation & Biochem Ltd
507486,Caprolactam Chemicals Ltd
507488,GM Breweries Ltd
507490,Rana Sugars Ltd
507498,Piccadily Sugar & Allied Industries Ltd
507514,Som Distilleries & Breweries Ltd
507515,CJ Gelatine Products Ltd
507526,Associated Alcohols & Breweries Ltd
507530,Thakkers Group Ltd
507543,Coromandel Agro Products & Oils Ltd
507552,Foods & Inns Ltd
507580,IVP Ltd
507598,Kovilpatti Lakshmi Roller Flour Mills Ltd
507609,Olympic Oil Industries Ltd
507621,Milkfood Ltd
507645,Polson Ltd
507663,Signature Green Corporation Ltd
507685,Wipro Ltd
507690,Orient Beverages Ltd
507717,Dhanuka Agritech Ltd
507747,TTK Healthcare Ltd
507753,TGV Sraac Ltd
507759,Lime Chemicals Ltd
507779,Kanpur Plastipack Ltd
507785,Tainwala Chemicals and Plastics (India) Ltd
507789,Jagsonpal Pharmaceuticals Ltd
507794,Khaitan Chemicals & Fertilizers Ltd
507808,United Leasing & Industries Ltd
507813,National Oxygen Ltd
507815,Gillette India Ltd
507817,Wires & Fabriks SA Ltd
507828,Ansal Housing Ltd
507833,Computer Point Ltd
507836,Mac Charles India Ltd
507852,Addi Industries Ltd
507864,Pioneer Investcorp Ltd
507872,Ashnoor Textile Mills Ltd
507878,Unitech Ltd
507880,VIP Industries Ltd
507910,Fiberweb India Ltd
507912,LKP Finance Ltd
507917,East Buildtech Ltd
